ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
601390.SH,20241101,6.41,8.73234,6.41,6.72,9.15466,6.72,6.39,8.7051,6.39,6.54,8.90944,6.54,6.41,0.13,2.0281,2171491.1,1428193.91,1.0634,2.4233,2.43,4.8344,5.3883,0.5456,0.1284,0.1353,3.0583,3.211,2475062.9817,2041945.0121,896072.4231,16186911.9003,13354320.3791,1.3623,16.79941,22.88584,16.79941,14.40165,19.61936,14.40165,0.2955,0.40256,0.2955,6.51167,8.87084,6.51167,0.848,0.848,0.848,-0.038,-0.038,-0.038,1.619,1.619,1.619,6.282,8.558,6.282,6.573,8.954,6.572,6.863,9.349,6.863,133.90411,133.90411,133.90411,187.00787,187.00787,187.00787,-2.94118,-2.94118,-2.94118,142.99065,142.99065,142.99065,0.5688,0.77488,0.5688,0.64756,0.88217,0.64756,33.66067,33.66067,33.66067,38.68517,38.68517,38.68517,23.13167,23.13167,23.13167,15.65836,15.65836,15.65836,0.0,2.0,0.5605,0.76357,0.5605,0.67917,0.92523,0.67917,6.49881,6.4026,6.32525,6.29706,6.48904,6.18163,6.18757,8.85332,8.72179,8.41572,8.57443,8.84001,8.38651,8.3581,6.49881,6.40225,6.17758,6.29408,6.48904,6.15614,6.13529,-0.37368,-0.37368,-0.37368,-0.08583,-0.08583,-0.08583,6.48835,8.83908,6.48835,6.19647,8.41886,6.17989,25.66599,25.66599,25.66599,37.15559,37.15559,37.15559,33.32572,33.32572,33.32572,6.0664,8.26379,6.06606,6.4064,8.72697,6.40606,6.7464,9.19015,6.74606,0.0,3.0,6.55,6.5725,6.21576,6.16967,6.47,5.99533,6.11044,8.92307,8.95372,8.25583,8.40494,8.81408,8.16744,8.24099,6.55,6.5725,6.06021,6.16967,6.47,5.99533,6.04932,-0.089,-0.124,-0.091,0.198,0.273,0.201,0.154,0.211,0.155,28.11459,28.11459,28.11459,28.32772,28.32772,28.32772,39.47436,39.47436,35.63494,-0.04,-0.05449,-0.04,-0.1,-0.13623,-0.1,46416.10382,47094.23345,47094.23345,41.667,41.667,41.667,41.667,41.667,41.667,-0.6079,-0.6079,-0.6079,-1.42967,-1.42967,-1.42967,56.548,55.95,54.997,56.583,56.234,54.998,56.583,56.234,54.998,6.15,8.37815,6.15,6.69,9.11379,6.69,7.23,9.84943,7.23,0.52078,0.5215,0.5215,0.60503,0.60863,0.60863,206.40664,206.40664,206.40664,56.863,56.863,56.863,45.0,45.0,45.0,6.6045,8.99731,6.6045,6.3455,8.64447,6.3455,6.95327,9.46914,6.95085,6.04349,8.23019,6.04139
601390.SH,20241031,6.36,8.66423,6.36,6.46,8.80046,6.46,6.32,8.60974,6.32,6.41,8.73234,6.41,6.39,0.02,0.313,946299.13,605061.88,0.4634,1.0561,1.07,4.7383,5.2812,0.5347,0.1258,0.1326,3.1204,3.2761,2475062.9817,2041945.0121,896072.4231,15865153.7127,13088867.5276,1.3623,15.19392,20.69868,15.19392,13.33351,18.16424,13.33351,0.289,0.3937,0.289,6.50108,8.85643,6.50108,-1.233,-1.233,-1.233,-2.075,-2.075,-2.075,0.483,0.483,0.483,6.182,8.422,6.182,6.548,8.921,6.548,6.915,9.42,6.915,126.19048,126.19048,126.19048,179.92126,179.92126,179.92126,-149.32493,-149.32493,-149.32493,142.03481,142.03481,142.03481,0.584,0.79558,0.584,0.66174,0.90149,0.66174,35.06275,35.06275,35.06275,42.15347,42.15347,42.15347,23.38129,23.38129,23.38129,7.55396,7.55396,7.55396,0.0,1.0,0.5045,0.68728,0.5045,0.75275,1.02547,0.75275,6.48965,6.38814,6.32352,6.2803,6.46355,6.16948,6.17965,8.84085,8.70203,8.41176,8.55133,8.8053,8.36878,8.34571,6.48965,6.38775,6.17467,6.27712,6.46355,6.14313,6.12619,-0.5237,-0.5237,-0.5237,0.08438,0.08438,0.08438,6.47896,8.82628,6.47896,6.18245,8.39883,6.16519,7.11882,7.11882,7.11882,39.07052,39.07052,39.07052,28.41995,28.41995,28.41995,6.04529,8.23497,6.0449,6.39129,8.70633,6.3909,6.73729,9.17768,6.7369,0.0,1.0,6.553,6.5485,6.21408,6.12133,6.474,5.99,6.11022,8.92715,8.92102,8.25243,8.33909,8.81953,8.16018,8.2374,6.553,6.5485,6.05772,6.12133,6.474,5.99,6.04669,-0.098,-0.135,-0.099,0.209,0.289,0.212,0.161,0.221,0.162,28.16408,28.16408,28.16408,28.45688,28.45688,28.45688,42.02387,42.02387,38.09254,-0.12,-0.16348,-0.12,-0.14167,-0.19299,-0.14167,46198.95471,46877.08434,46877.08434,41.667,41.667,41.667,43.056,43.056,43.056,-1.83767,-1.83767,-1.83767,-2.03292,-2.03292,-2.03292,52.23,53.915,40.923,52.265,54.2,40.923,52.265,54.2,40.923,5.9,8.03757,5.9,6.565,8.9435,6.565,7.23,9.84943,7.23,0.57729,0.57812,0.57812,0.55913,0.5632,0.5632,197.3241,197.3241,197.3241,80.769,80.769,80.769,74.286,74.286,74.286,6.60807,9.00217,6.60807,6.34893,8.64915,6.34893,6.9531,9.46889,6.95067,6.04334,8.22997,6.04123
601390.SH,20241030,6.45,8.78684,6.45,6.53,8.89582,6.53,6.36,8.66423,6.36,6.39,8.7051,6.39,6.46,-0.07,-1.0836,860437.33,552775.16,0.4214,0.9782,0.83,4.7235,5.0174,0.5536,0.1254,0.1302,3.1301,3.2864,2475062.9817,2041945.0121,879633.0231,15815652.4531,13048028.6273,1.3623,14.92326,20.32996,14.92326,11.97073,16.30772,11.97073,0.3015,0.41073,0.3015,6.52146,8.88418,6.52146,-2.269,-2.269,-2.269,-2.53,-2.53,-2.53,0.981,0.981,0.981,6.075,8.276,6.075,6.525,8.889,6.525,6.975,9.502,6.975,122.89562,122.89562,122.89562,178.74016,178.74016,178.74016,-154.16667,-154.16667,-154.16667,155.49525,155.49525,155.49525,0.596,0.81193,0.596,0.67,0.91274,0.67,33.01306,33.01306,33.01306,43.18752,43.18752,43.18752,20.67797,20.67797,20.67797,7.11864,7.11864,7.11864,5.0,0.0,0.5495,0.74858,0.5495,0.86958,1.18463,0.86958,6.50735,6.38584,6.32283,6.27136,6.49033,6.16133,6.17448,8.86497,8.69884,8.40918,8.53884,8.84178,8.35646,8.33702,6.50735,6.38541,6.17278,6.26796,6.49033,6.13408,6.11982,-0.38184,-0.38184,-0.38184,0.27701,0.27701,0.27701,6.4915,8.84336,6.49149,6.17316,8.38522,6.15519,12.6276,12.6276,12.6276,44.3958,44.3958,44.3958,33.8064,33.8064,33.8064,6.02272,8.20418,6.0223,6.39072,8.7055,6.3903,6.75872,9.20683,6.7583,14.0,0.0,6.556,6.525,6.21296,6.079,6.506,5.986,6.11144,8.93124,8.88901,8.24979,8.28142,8.86312,8.15473,8.23578,6.556,6.525,6.05578,6.079,6.506,5.986,6.0455,-0.083,-0.115,-0.084,0.222,0.306,0.224,0.18,0.248,0.182,28.29619,28.29619,28.29619,28.63181,28.63181,28.63181,36.2957,36.2957,33.32519,-0.32,-0.43594,-0.32,-0.1,-0.13623,-0.1,46104.32479,46782.45442,46782.45442,33.333,33.333,33.333,45.833,45.833,45.833,-4.769,-4.769,-4.769,-1.39686,-1.39686,-1.39686,51.551,53.599,38.455,51.586,53.884,38.455,51.586,53.884,38.455,5.55,7.56077,5.55,6.39,8.7051,6.39,7.23,9.84943,7.23,0.64207,0.64303,0.64303,0.50388,0.50847,0.50847,194.73286,194.73286,194.73286,84.615,84.615,84.615,93.617,93.617,93.617,6.6453,9.05289,6.6453,6.3847,8.69788,6.3847,6.95529,9.4718,6.9528,6.04525,8.2325,6.04309
601390.SH,20241029,6.56,8.93669,6.56,6.58,8.96393,6.58,6.45,8.78684,6.45,6.46,8.80046,6.46,6.55,-0.09,-1.374,823892.04,535297.81,0.4035,0.9366,0.78,4.7753,5.0724,0.5596,0.1268,0.1316,3.0962,3.2508,2475062.9817,2041945.0121,879633.0231,15988906.8618,13190964.7782,1.3623,15.70144,21.39008,15.70144,10.23123,13.93801,10.23123,0.313,0.4264,0.313,6.54333,8.91398,6.54333,-1.824,-1.824,-1.824,-1.861,-1.861,-1.861,2.941,2.941,2.941,5.896,8.032,5.896,6.488,8.838,6.488,7.079,9.643,7.079,122.0339,122.0339,122.0339,180.4,180.4,180.4,-111.77945,-111.77945,-111.77945,182.75862,182.75862,182.75862,0.6242,0.85035,0.6242,0.6726,0.91628,0.6726,31.44863,31.44863,31.44863,44.56773,44.56773,44.56773,15.29412,15.29412,15.29412,8.82353,8.82353,8.82353,4.0,0.0,0.6905,0.94067,0.6905,0.97533,1.3287,0.97533,6.53343,6.3854,6.32229,6.26318,6.54049,6.15358,6.16963,8.90049,8.69819,8.40681,8.52738,8.91012,8.34464,8.32875,6.53343,6.38493,6.17104,6.25954,6.54049,6.12541,6.11374,-0.19434,-0.19434,-0.19434,0.47567,0.47567,0.47567,6.50996,8.8685,6.50995,6.16431,8.37217,6.14561,29.67087,29.67087,29.67087,49.6905,49.6905,49.6905,43.01729,43.01729,43.01729,6.01294,8.19079,6.01247,6.38694,8.70029,6.38647,6.76094,9.20979,6.76047,7.0,0.0,6.575,6.4875,6.21244,6.038,6.568,5.983,6.11167,8.95712,8.83792,8.24795,8.22557,8.94759,8.15064,8.23286,6.575,6.4875,6.05443,6.038,6.568,5.983,6.04335,-0.054,-0.075,-0.055,0.232,0.32,0.235,0.205,0.282,0.207,28.34902,28.34902,28.34902,28.85287,28.85287,28.85287,49.49206,49.49206,46.01095,-0.13,-0.1771,-0.13,0.05,0.06812,0.05,46190.36853,46868.49816,46868.49816,41.667,41.667,41.667,50.0,50.0,50.0,-1.97269,-1.97269,-1.97269,0.99314,0.99314,0.99314,54.014,54.861,43.79,54.053,55.161,43.79,54.053,55.161,43.79,5.46,7.43816,5.46,6.345,8.64379,6.345,7.23,9.84943,7.23,0.70431,0.70542,0.70542,0.4402,0.44535,0.44535,197.77349,197.77349,197.77349,71.154,71.154,71.154,88.095,88.095,88.095,6.70599,9.13557,6.70599,6.44301,8.77731,6.44301,6.95726,9.47444,6.95474,6.04697,8.23479,6.04477
601390.SH,20241028,6.51,8.86857,6.51,6.58,8.96393,6.58,6.41,8.73234,6.41,6.55,8.92307,6.55,6.56,-0.01,-0.1524,1041603.06,676918.41,0.5101,1.1841,0.86,4.8418,5.143,0.5674,0.1286,0.1335,3.0537,3.2061,2475062.9817,2041945.0121,879633.0231,16211662.5301,13374739.8293,1.3623,16.21872,22.09476,16.21872,8.29734,11.30346,8.29734,0.3165,0.43117,0.3165,6.55075,8.92409,6.55075,-1.008,-1.008,-1.008,-0.657,-0.657,-0.657,5.369,5.369,5.369,5.667,7.72,5.667,6.433,8.764,6.433,7.199,9.808,7.199,127.01754,127.01754,127.01754,187.55187,187.55187,187.55187,-80.41237,-80.41237,-80.41237,193.64845,193.64845,193.64845,0.6402,0.87214,0.6402,0.66372,0.90419,0.66372,35.00178,35.00178,35.00178,47.451,47.451,47.451,23.84615,23.84615,23.84615,7.69231,7.69231,7.69231,3.0,0.0,0.8445,1.15046,0.8445,1.07342,1.46232,1.07342,6.54975,6.37754,6.32118,6.2496,6.58074,6.14319,6.16311,8.92272,8.68742,8.40364,8.50854,8.96494,8.32919,8.31815,6.54975,6.37702,6.16872,6.24572,6.58074,6.11406,6.10596,-0.79036,-0.79036,-0.79036,0.6623,0.6623,0.6623,6.51904,8.88087,6.51903,6.15224,8.35468,6.13278,44.25437,44.25437,44.25437,53.02711,53.02711,53.02711,50.10286,50.10286,50.10286,5.96739,8.12867,5.96687,6.37539,8.68448,6.37487,6.78339,9.2403,6.78287,6.0,0.0,6.582,6.433,6.21212,5.99767,6.604,5.97733,6.11156,8.96666,8.76368,8.24636,8.17062,8.99663,8.14292,8.22946,6.582,6.433,6.05326,5.99767,6.604,5.97733,6.04086,-0.024,-0.035,-0.026,0.239,0.329,0.242,0.227,0.312,0.229,28.42331,28.42331,28.42331,29.12837,29.12837,29.12837,45.62358,45.62358,42.64905,-0.31,-0.42231,-0.31,0.195,0.26565,0.195,46272.75773,46950.88736,46950.88736,41.667,41.667,41.667,54.167,54.167,54.167,-4.51895,-4.51895,-4.51895,3.39824,3.39824,3.39824,57.238,56.5,51.436,57.281,56.819,51.436,57.281,56.819,51.436,5.2,7.08396,5.2,6.215,8.46669,6.215,7.23,9.84943,7.23,0.75729,0.75858,0.75858,0.37006,0.37585,0.37585,200.95976,200.95976,200.95976,53.846,53.846,53.846,66.667,66.667,66.667,6.73608,9.17656,6.73608,6.47192,8.8167,6.47192,6.95726,9.47444,6.95474,6.04697,8.23479,6.04477
