ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
601766.SH,20241101,8.33,11.69199,8.33,8.61,12.085,8.61,8.29,11.63584,8.29,8.46,11.87446,8.46,8.32,0.14,1.6827,1645931.31,1395672.51,0.6766,1.6898,1.56,20.731,18.9608,1.4851,1.0364,0.9958,2.3641,2.3641,2869886.4088,2432779.8048,974021.9798,24279239.0184,20581317.1486,1.4036,10.99242,15.42896,10.99242,10.30818,14.46856,10.30818,0.352,0.49407,0.352,8.29296,11.64,8.29296,1.785,1.785,1.785,2.618,2.618,2.618,4.214,4.214,4.214,7.914,11.107,7.914,8.236,11.56,8.236,8.558,12.013,8.558,114.92147,114.92147,114.92147,209.81818,209.81818,209.81818,181.17647,181.17647,181.17647,150.11601,150.11601,150.11601,0.6234,0.875,0.6234,0.60788,0.87335,0.62222,21.22986,16.41413,16.41413,39.49891,34.52854,34.52854,14.64174,17.44548,17.44548,18.06854,18.06854,18.06854,0.0,1.0,0.796,1.11727,0.796,0.819,1.14955,0.819,8.28121,8.1215,6.99548,7.98755,8.3519,7.76186,7.60811,11.62349,11.39762,9.62948,11.20199,11.72272,10.8446,10.59262,8.2812,8.12028,6.86056,7.9809,8.3519,7.72627,7.54675,0.0812,0.0812,0.0812,0.06342,0.06342,0.06342,8.25099,11.58104,8.25095,7.82118,10.94196,7.79564,76.31885,76.31885,76.31885,65.81583,65.81583,65.81583,69.31683,69.31683,69.31683,7.69311,10.79634,7.6919,8.12311,11.39989,8.1219,8.55311,12.00344,8.5519,0.0,15.0,8.278,8.236,6.66656,7.86867,8.342,7.66317,7.64467,11.619,11.56005,9.17031,11.04446,11.70883,10.71354,10.60893,8.278,8.236,6.53342,7.86867,8.342,7.6329,7.55837,-0.007,-0.015,-0.011,0.219,0.315,0.225,0.215,0.308,0.219,26.79269,26.79269,26.79269,26.98307,26.98307,26.98307,51.07753,51.07753,51.07753,0.37,0.51933,0.37,0.14167,0.19884,0.14167,21333.42271,21807.42711,21807.42711,75.0,75.0,75.0,65.278,65.278,65.278,4.57355,4.57355,4.57355,1.78147,1.78147,1.78147,63.637,59.659,70.168,63.748,60.104,70.171,63.748,60.104,70.171,7.73,10.84983,7.73,8.36,11.7341,8.36,8.99,12.61836,8.99,0.46591,0.46894,0.46894,0.4698,0.48267,0.48267,272.09774,272.09774,272.09774,27.273,27.273,27.273,27.273,27.273,27.273,8.4966,11.92583,8.4966,8.1634,11.45815,8.1634,8.59107,12.05302,8.58722,7.46701,10.47599,7.46366
601766.SH,20241031,8.39,11.7762,8.39,8.4,11.79024,8.4,8.1,11.36916,8.1,8.32,11.67795,8.32,8.36,-0.04,-0.4785,1323363.98,1090775.48,0.544,1.3587,1.42,20.3879,18.6471,1.4605,1.0193,0.9794,2.4038,2.4038,2869886.4088,2432779.8048,974021.9798,23877454.9212,20240727.9759,1.4036,10.74809,15.08602,10.74809,9.69731,13.61114,9.69731,0.352,0.49407,0.352,8.25554,11.58748,8.25554,0.483,0.483,0.483,1.299,1.299,1.299,3.252,3.252,3.252,7.8,10.949,7.8,8.196,11.503,8.196,8.591,12.058,8.591,106.13811,106.13811,106.13811,196.80851,196.80851,196.80851,58.33333,58.33333,58.33333,149.24681,149.24681,149.24681,0.6152,0.86349,0.6152,0.61092,0.88272,0.6289,27.20313,22.73814,22.73814,44.36663,40.12308,40.12308,14.8265,17.66562,17.66562,11.67192,11.67192,11.67192,1.0,0.0,0.731,1.02603,0.731,0.85383,1.19844,0.85383,8.24147,8.08586,6.98372,7.95496,8.29785,7.73819,7.58896,11.56772,11.34743,9.61145,11.15561,11.64686,10.80969,10.56381,8.24147,8.08452,6.84771,7.94786,8.29785,7.7014,7.52623,-0.13948,-0.13948,-0.13948,0.1331,0.1331,0.1331,8.21299,11.52769,8.21295,7.7951,10.9039,7.76853,74.7042,74.7042,74.7042,64.06532,64.06532,64.06532,67.61162,67.61162,67.61162,7.64235,10.72492,7.64101,8.08835,11.35092,8.08701,8.53435,11.97693,8.53301,1.0,0.0,8.249,8.1955,6.65416,7.809,8.282,7.64933,7.62944,11.5783,11.5032,9.15212,10.96071,11.62462,10.68947,10.58468,8.249,8.1955,6.52046,7.809,8.282,7.61575,7.54109,-0.017,-0.029,-0.021,0.22,0.317,0.226,0.211,0.302,0.215,26.76948,26.76948,26.76948,27.13545,27.13545,27.13545,51.53969,51.53969,51.53969,0.19,0.26668,0.19,0.025,0.03509,0.025,21168.82958,21642.83398,21642.83398,66.667,66.667,66.667,62.5,62.5,62.5,2.33702,2.33702,2.33702,0.37968,0.37968,0.37968,59.983,57.897,60.59,60.098,58.343,60.593,60.098,58.343,60.593,7.57,10.62525,7.57,8.28,11.62181,8.28,8.99,12.61836,8.99,0.48038,0.48384,0.48384,0.43644,0.45081,0.45081,265.23341,265.23341,265.23341,27.869,27.869,27.869,39.535,39.535,39.535,8.44305,11.85066,8.44305,8.11195,11.38593,8.11195,8.57848,12.03519,8.57451,7.45606,10.46049,7.45262
601766.SH,20241030,8.32,11.67795,8.32,8.49,11.91656,8.49,8.29,11.63584,8.29,8.36,11.7341,8.36,8.32,0.04,0.4808,990393.34,826555.08,0.4071,1.0168,1.05,20.4859,19.2677,1.4959,1.0242,1.0123,2.3923,2.3923,2869886.4088,2432779.8048,974021.9798,23992250.3776,20338039.1681,1.4036,12.34979,17.33417,12.34979,8.59966,12.07048,8.59966,0.3465,0.48635,0.3465,8.23421,11.55753,8.23421,1.109,1.109,1.109,1.982,1.982,1.982,4.544,4.544,4.544,7.7,10.808,7.7,8.161,11.455,8.161,8.622,12.101,8.622,116.71233,116.71233,116.71233,213.74046,213.74046,213.74046,183.72703,183.72703,183.72703,165.74655,165.74655,165.74655,0.5944,0.83991,0.59839,0.61066,0.88801,0.63266,34.4607,27.51495,27.51495,49.64798,44.69398,44.69398,8.04598,10.63218,10.63218,10.63218,10.63218,10.63218,0.0,3.0,0.833,1.1692,0.833,0.90942,1.27646,0.90942,8.22402,8.06122,6.97298,7.92979,8.28677,7.71847,7.57254,11.54323,11.31264,9.59485,11.11959,11.63131,10.78026,10.53878,8.22401,8.05973,6.83588,7.92219,8.28677,7.68043,7.50839,-0.06036,-0.06036,-0.06036,0.24384,0.24384,0.24384,8.19354,11.50037,8.19348,7.77368,10.87231,7.74602,88.97024,88.97024,88.97024,62.29218,62.29218,62.29218,71.18486,71.18486,71.18486,7.63888,10.71985,7.63739,8.06888,11.32339,8.06739,8.49888,11.92694,8.49739,0.0,13.0,8.215,8.161,6.64248,7.75633,8.272,7.63933,7.61556,11.53057,11.45478,9.13493,10.88679,11.61058,10.67072,10.56231,8.215,8.161,6.50822,7.75633,8.272,7.6024,7.52516,-0.009,-0.019,-0.014,0.222,0.321,0.228,0.217,0.311,0.222,26.85508,26.85508,26.85508,27.33763,27.33763,27.33763,48.79157,48.79157,48.79157,0.08,0.11229,0.08,0.00667,0.00936,0.00667,21301.16598,21775.17038,21775.17038,66.667,66.667,66.667,61.111,61.111,61.111,0.96618,0.96618,0.96618,0.15338,0.15338,0.15338,61.605,58.598,65.605,61.725,59.057,65.609,61.725,59.057,65.609,7.45,10.45682,7.45,8.22,11.53759,8.22,8.99,12.61836,8.99,0.50018,0.50413,0.50413,0.39744,0.41345,0.41345,307.02262,307.02262,307.02262,21.311,21.311,21.311,30.233,30.233,30.233,8.43744,11.84279,8.43744,8.10656,11.37837,8.10656,8.5749,12.03011,8.57089,7.45295,10.45607,7.44947
601766.SH,20241029,8.28,11.62181,8.28,8.44,11.84638,8.44,8.24,11.56566,8.24,8.32,11.67795,8.32,8.25,0.07,0.8485,1170478.36,976603.03,0.4811,1.2017,1.32,20.3879,19.1755,1.4887,1.0193,1.0075,2.4038,2.4038,2869886.4088,2432779.8048,974021.9798,23877454.9212,20240727.9759,1.4036,11.92546,16.73857,11.92546,6.83948,9.59989,6.83948,0.351,0.49266,0.351,8.19913,11.50829,8.19913,0.93,0.93,0.93,1.577,1.577,1.577,4.846,4.846,4.846,7.59,10.654,7.59,8.119,11.396,8.119,8.648,12.138,8.648,111.38211,111.38211,111.38211,202.61194,202.61194,202.61194,128.11466,128.11466,128.11466,177.04082,177.04082,177.04082,0.5834,0.83,0.59134,0.6095,0.89204,0.63554,41.35936,35.65802,35.65802,54.79043,50.99028,50.99028,6.84597,9.04645,9.04645,11.49144,11.49144,11.49144,0.0,2.0,0.8615,1.2092,0.8615,0.95,1.33342,0.95,8.19381,8.02977,6.96184,7.90012,8.25016,7.69672,7.55484,11.50081,11.26827,9.57766,11.07721,11.57992,10.74792,10.51192,8.19379,8.02812,6.82364,7.892,8.25016,7.6574,7.48925,-0.02654,-0.02654,-0.02654,0.36266,0.36266,0.36266,8.16327,11.45788,8.16321,7.74975,10.83713,7.72096,86.60744,86.60743,86.60743,57.84583,57.84584,57.84584,67.43303,67.43303,67.43303,7.60613,10.67366,7.60449,8.03613,11.27721,8.03449,8.46613,11.88075,8.46449,0.0,12.0,8.188,8.119,6.63104,7.70167,8.25,7.6295,7.59789,11.49268,11.39583,9.11807,10.81006,11.5797,10.65218,10.53476,8.188,8.119,6.4962,7.70167,8.25,7.58919,7.50553,-0.011,-0.022,-0.015,0.223,0.323,0.23,0.218,0.312,0.222,26.94802,26.94802,26.94802,27.5692,27.5692,27.5692,56.34637,56.34637,56.34637,0.26,0.36494,0.26,0.08667,0.12165,0.08667,21202.12665,21676.13104,21676.13104,66.667,66.667,66.667,59.722,59.722,59.722,3.22581,3.22581,3.22581,1.21239,1.21239,1.21239,60.629,58.112,63.057,60.751,58.571,63.061,60.751,58.571,63.061,7.41,10.40068,7.41,8.2,11.50952,8.2,8.99,12.61836,8.99,0.51889,0.52341,0.52341,0.35285,0.37064,0.37064,278.77982,278.77982,278.77982,21.429,21.429,21.429,31.579,31.579,31.579,8.41551,11.81201,8.41551,8.08549,11.34879,8.08549,8.56493,12.01596,8.56081,7.44428,10.44378,7.44071
601766.SH,20241028,8.17,11.46741,8.17,8.26,11.59374,8.26,8.06,11.31302,8.06,8.25,11.5797,8.25,8.16,0.09,1.1029,838005.75,686079.34,0.3445,0.8604,0.82,20.2164,19.0142,1.4762,1.0107,0.999,2.4242,2.4242,2869886.4088,2432779.8048,974021.9798,23676562.8726,20070433.3896,1.4036,12.57948,17.65655,12.57948,5.00564,7.02591,5.00564,0.356,0.49968,0.356,8.17108,11.46893,8.17108,0.365,0.365,0.365,0.989,0.989,0.989,4.767,4.767,4.767,7.442,10.446,7.442,8.068,11.325,8.068,8.695,12.204,8.695,113.62398,113.62398,113.62398,202.97398,202.97398,202.97398,-14.41013,-14.41013,-14.41013,181.25,181.25,181.25,0.579,0.82938,0.5909,0.60438,0.89053,0.63446,47.22117,42.7832,42.7832,58.97561,56.29451,56.29451,13.37719,15.35088,15.35088,6.35965,6.35965,6.35965,0.0,1.0,0.8565,1.20218,0.8565,0.993,1.39377,0.993,8.16576,7.99922,6.95094,7.87116,8.21523,7.67559,7.53765,11.46144,11.22515,9.56079,11.03578,11.5309,10.7164,10.48571,8.16575,7.9974,6.81162,7.86248,8.21523,7.63494,7.47058,-0.55377,-0.55377,-0.55377,0.48063,0.48063,0.48063,8.13478,11.41786,8.1347,7.72647,10.80281,7.6965,79.48705,79.48704,79.48704,53.05223,53.05224,53.05224,61.86384,61.86384,61.86384,7.56685,10.61828,7.56503,8.00485,11.23305,8.00303,8.44285,11.84783,8.44103,0.0,1.0,8.169,8.0685,6.62012,7.652,8.228,7.6195,7.58222,11.46601,11.32495,9.10193,10.74035,11.54882,10.63344,10.50996,8.169,8.0685,6.4847,7.652,8.228,7.57583,7.48786,-0.011,-0.022,-0.016,0.224,0.326,0.232,0.219,0.315,0.224,27.10989,27.10989,27.10989,27.81753,27.81753,27.81753,46.63497,46.63497,46.63497,-0.26,-0.36494,-0.26,0.135,0.18949,0.135,21085.07881,21559.08321,21559.08321,58.333,58.333,58.333,58.333,58.333,58.333,-3.05523,-3.05523,-3.05523,1.87615,1.87615,1.87615,58.957,57.27,58.581,59.079,57.731,58.585,59.079,57.731,58.585,7.03,9.86731,7.03,8.01,11.24284,8.01,8.99,12.61836,8.99,0.54011,0.54526,0.54526,0.30357,0.32329,0.32329,278.2287,278.2287,278.2287,24.49,24.49,24.49,38.71,38.71,38.71,8.39256,11.7798,8.39256,8.06344,11.31784,8.06344,8.55592,12.00317,8.5517,7.43646,10.43266,7.43279
