ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
603501.SH,20241101,107.11,146.32297,107.11,107.88,147.37487,107.88,104.74,143.08531,104.74,104.92,143.33121,104.92,107.3,-2.38,-2.2181,172568.9,1828106.51,1.421,2.1389,0.83,229.3236,49.7238,5.6829,6.0616,5.128,0.0779,0.1315,121442.7012,121442.7012,80682.21,12741768.2099,12741768.2099,1.3661,19.67492,26.87791,19.67492,156.37607,213.62535,156.37607,5.8415,7.98007,5.8415,108.75963,148.57652,108.75963,-3.405,-3.405,-3.405,-4.18,-4.18,-4.18,-1.941,-1.941,-1.941,103.152,140.916,103.152,110.376,150.785,110.376,117.6,160.654,117.6,90.53474,90.53474,90.53474,150.5022,150.5022,150.5022,-102.30694,-102.30694,-102.30694,127.96785,127.96785,127.96785,12.9886,17.74373,12.9886,14.70794,20.10345,14.71594,11.23034,11.23034,11.23034,29.24741,29.24741,29.24741,21.1926,21.1926,21.1926,25.35514,25.35514,25.35514,5.0,0.0,6.1355,8.38171,6.1355,12.49042,17.06316,12.49042,108.31972,106.60938,99.58845,104.35454,107.46989,100.89195,99.70778,147.97556,145.63793,134.95942,142.55221,146.81462,137.79131,136.14436,108.31971,106.60854,98.79176,104.34976,107.46989,100.86473,99.65915,-0.11764,-0.11764,-0.11764,0.27533,0.27533,0.27533,108.20291,147.81596,108.20289,101.63196,138.81313,101.61271,-3.10404,-3.10404,-3.10404,38.71652,38.71652,38.71652,24.77633,24.77633,24.77633,99.49353,135.91698,99.4927,106.81353,145.91683,106.8127,114.13353,155.91668,114.1327,10.0,0.0,110.01,110.376,98.86108,102.52633,107.986,96.61917,98.857,150.28466,150.78465,134.88879,140.06122,147.51967,131.96486,134.95838,110.01,110.376,98.74006,102.52633,107.986,96.59971,98.791,-2.421,-3.311,-2.424,4.22,5.77,4.224,3.009,4.115,3.012,28.34088,28.34088,28.34088,28.65,28.65,28.65,45.32337,45.32337,45.32337,-0.73,-0.99725,-0.73,-2.78667,-3.80687,-2.78667,244.95806,271.26352,271.26352,25.0,25.0,25.0,25.0,25.0,25.0,-0.69096,-0.69096,-0.69096,-2.47184,-2.47184,-2.47184,47.988,53.03,31.724,47.991,53.046,31.724,47.991,53.046,31.724,100.04,136.66464,100.04,112.02,153.03052,112.02,124.0,169.3964,124.0,0.63893,0.63908,0.63908,0.798,0.7987,0.7987,58.19037,58.19037,58.19037,98.584,98.584,98.584,97.964,97.964,97.964,110.5476,151.01908,110.5476,106.2124,145.09676,106.2124,117.45121,160.44951,117.45078,102.08376,139.45611,102.08339
603501.SH,20241031,107.42,146.74646,107.42,108.37,148.04426,108.37,105.08,143.54979,105.08,107.3,146.58253,107.3,107.42,-0.12,-0.1117,237959.91,2546782.79,1.9594,2.9493,1.25,234.5256,50.8517,5.8118,6.1991,5.2443,0.0762,0.1286,121442.7012,121442.7012,80682.21,13030801.8388,13030801.8388,1.3661,94.91459,129.66282,94.91459,172.16423,235.19355,172.16423,6.0755,8.29974,6.0755,109.26846,149.27164,109.26846,-1.978,-1.978,-1.978,-2.061,-2.061,-2.061,1.158,1.158,1.158,101.293,138.376,101.293,110.03,150.313,110.03,118.768,162.249,118.768,95.21779,95.21779,95.21779,161.52427,161.52427,161.52427,-90.95745,-90.95745,-90.95745,148.17455,148.17455,148.17455,13.752,18.78661,13.752,15.08918,20.62745,15.09952,15.93311,15.93311,15.93311,31.94012,31.94012,31.94012,22.75082,22.75082,22.75082,24.10111,24.10111,24.10111,4.0,0.0,9.7155,13.27234,9.7155,14.4475,19.73673,14.4475,109.07521,106.78721,99.54562,104.31555,108.74483,100.75541,99.59065,149.00764,145.88075,134.89218,142.49848,148.55632,137.60352,135.98286,109.0752,106.78629,98.74254,104.31043,108.74483,100.72727,99.54092,-0.20448,-0.20448,-0.20448,0.5189,0.5189,0.5189,108.7998,148.63137,108.79978,101.49776,138.62872,101.47772,17.55617,17.55617,17.55617,45.68661,45.68661,45.68661,36.3098,36.3098,36.3098,98.14931,134.08051,98.14839,106.91531,146.05574,106.91439,115.68131,158.03098,115.68039,9.0,0.0,110.538,110.0305,98.83712,101.90233,109.358,96.58667,98.84089,151.00596,150.31267,134.85523,139.20878,149.39396,131.91686,134.93396,110.538,110.0305,98.71549,101.90233,109.358,96.56457,98.77312,-1.876,-2.567,-1.879,4.522,6.184,4.527,3.584,4.9,3.587,28.55802,28.55802,28.55802,28.76768,28.76768,28.76768,42.87969,42.87969,42.87969,-1.98,-2.70488,-1.98,-3.985,-5.44391,-3.985,262.21495,288.52041,288.52041,25.0,25.0,25.0,23.611,23.611,23.611,-1.81186,-1.81186,-1.81186,-3.47608,-3.47608,-3.47608,52.785,55.586,40.433,52.788,55.602,40.433,52.788,55.602,40.433,91.7,125.27137,91.7,107.85,147.33389,107.85,124.0,169.3964,124.0,0.72332,0.7235,0.7235,0.75374,0.75452,0.75452,62.85423,62.85423,62.85423,68.258,68.258,68.258,73.882,73.882,73.882,111.69459,152.58598,111.69459,107.31441,146.60222,107.31441,117.68503,160.76889,117.68457,102.28699,139.73371,102.28659
603501.SH,20241030,108.57,148.31748,108.57,109.9,150.13439,109.9,106.61,145.63992,106.61,107.42,146.74646,107.42,109.34,-1.92,-1.756,174548.42,1887104.04,1.4373,2.1634,0.89,234.7879,50.9086,5.8183,6.206,5.2502,0.0761,0.1285,121442.7012,121442.7012,80682.21,13045374.9629,13045374.9629,1.3661,113.22288,154.67378,113.22288,167.90401,229.37366,167.90401,6.1115,8.34892,6.1115,109.57904,149.69593,109.57904,-2.498,-2.498,-2.498,-2.099,-2.099,-2.099,2.188,2.188,2.188,96.969,132.469,96.969,109.184,149.157,109.184,121.4,165.844,121.4,96.45346,96.45346,96.45346,165.99091,165.99091,165.99091,-74.4248,-74.4248,-74.4248,158.93985,158.93985,158.93985,13.667,18.67049,13.667,15.28664,20.90082,15.29963,23.76721,23.76721,23.76721,36.21625,36.21625,36.21625,29.79161,29.79161,29.79161,22.52715,22.52715,22.52715,3.0,0.0,10.707,14.62683,10.707,16.29658,22.26276,16.29658,109.4697,106.73323,99.48334,104.10972,109.46725,100.53356,99.41741,149.54655,145.80687,134.79828,142.21682,149.54321,137.29914,135.74466,109.46969,106.73221,98.6738,104.10426,109.46725,100.50446,99.36656,-0.62939,-0.62939,-0.62939,0.73861,0.73861,0.73861,109.0725,149.00389,109.07246,101.26093,138.30407,101.24008,35.72408,35.72408,35.72408,50.37502,50.37502,50.37502,45.49137,45.49137,45.49137,98.03517,133.92445,98.03415,106.91517,146.05541,106.91415,115.79517,158.18638,115.79415,8.0,0.0,110.175,109.1845,98.80992,101.20033,109.898,96.47667,98.81311,150.51007,149.15695,134.81722,138.24978,150.13166,131.76306,134.89357,110.175,109.1845,98.68767,101.20033,109.898,96.45199,98.74355,-1.467,-2.008,-1.47,4.757,6.505,4.762,4.024,5.501,4.027,28.70847,28.70847,28.70847,28.88546,28.88546,28.88546,41.97427,41.97427,41.97427,-3.25,-4.43983,-3.25,-2.93167,-4.00495,-2.93167,286.01094,312.3164,312.3164,25.0,25.0,25.0,23.611,23.611,23.611,-2.93666,-2.93666,-2.93666,-2.49936,-2.49936,-2.49936,53.03,55.716,40.905,53.033,55.732,40.905,53.033,55.732,40.905,86.4,118.03104,86.4,105.2,143.71372,105.2,124.0,169.3964,124.0,0.7978,0.798,0.798,0.70089,0.70176,0.70176,68.16025,68.16025,68.16025,67.451,67.451,67.451,88.429,88.429,88.429,112.32393,153.44572,112.32393,107.91907,147.42824,107.91907,117.76608,160.8796,117.76561,102.35743,139.82994,102.35703
603501.SH,20241029,110.95,151.5688,110.95,113.58,155.16164,113.58,109.28,149.28741,109.28,109.34,149.36937,109.34,110.95,-1.61,-1.4511,243649.56,2709703.23,2.0063,3.0199,1.26,238.9844,51.8185,5.9223,6.3169,5.344,0.0747,0.1262,121442.7012,121442.7012,80682.21,13278544.9492,13278544.9492,1.3661,145.5654,198.8569,145.5654,161.7985,221.03294,161.7985,6.159,8.41381,6.159,109.99367,150.26235,109.99367,-1.611,-1.611,-1.611,-0.595,-0.595,-0.595,4.884,4.884,4.884,92.56,126.447,92.56,108.16,147.758,108.16,123.761,169.069,123.761,96.9926,96.9926,96.9926,172.45038,172.45038,172.45038,-4.53421,-4.53421,-4.53421,183.58726,183.58726,183.58726,13.7918,18.84486,13.79464,15.36564,21.01279,15.38159,30.1302,30.1302,30.1302,39.25043,39.25043,39.25043,24.0847,24.0847,24.0847,20.96995,20.96995,20.96995,2.0,0.0,13.597,18.57486,13.597,18.49442,25.26522,18.49442,109.92519,106.66094,99.41959,103.88143,110.49088,100.30012,99.23757,150.16879,145.70797,134.70231,141.90444,150.94159,136.9789,135.49743,109.92518,106.65981,98.60355,103.87558,110.49088,100.27004,99.18559,-0.30386,-0.30386,-0.30386,0.97536,0.97536,0.97536,109.37295,149.41433,109.37291,101.00954,137.95948,100.98784,50.25436,50.25436,50.25436,52.81684,52.81684,52.81684,51.96268,51.96268,51.96268,97.72743,133.5039,97.7263,106.80343,145.90262,106.8023,115.87943,158.30135,115.8783,7.0,0.0,109.998,108.1605,98.7846,100.49467,110.722,96.3815,98.77489,150.26827,147.75806,134.78179,137.28576,151.25732,131.6295,134.83892,109.998,108.1605,98.66173,100.49467,110.722,96.35422,98.70355,-0.853,-1.17,-0.856,4.94,6.756,4.945,4.514,6.171,4.517,28.70879,28.70879,28.70879,29.00626,29.00626,29.00626,50.97067,50.97067,50.97067,-2.61,-3.56552,-2.61,0.13667,0.1867,0.13667,303.46578,329.77124,329.77124,25.0,25.0,25.0,25.0,25.0,25.0,-2.3314,-2.3314,-2.3314,0.56806,0.56806,0.56806,56.904,57.784,48.442,56.907,57.801,48.442,56.907,57.801,48.442,85.7,117.07477,85.7,104.85,143.23559,104.85,124.0,169.3964,124.0,0.86592,0.86616,0.86616,0.64209,0.64306,0.64306,70.38587,70.38587,70.38587,54.539,54.539,54.539,87.722,87.722,87.722,113.17053,154.60226,113.17053,108.73247,148.53943,108.73247,117.80139,160.92783,117.80092,102.38812,139.87185,102.38771
603501.SH,20241028,112.5,153.68625,112.5,112.5,153.68625,112.5,109.8,149.99778,109.8,110.95,151.5688,110.95,111.78,-0.83,-0.7425,180855.01,1999936.19,1.4892,2.2416,0.74,242.5034,52.5815,6.0095,6.4099,5.4227,0.0737,0.1244,121442.7012,121442.7012,80682.21,13474067.6981,13474067.6981,1.3661,165.06231,225.49162,165.06231,164.72988,225.03749,164.72988,6.1505,8.4022,6.1505,109.98063,150.24453,109.98063,-0.808,-0.808,-0.808,0.67,0.67,0.67,7.475,7.475,7.475,88.407,120.773,88.407,106.947,146.101,106.947,125.488,171.429,125.488,93.8493,93.8493,93.8493,170.24303,170.24303,170.24303,-5.48251,-5.48251,-5.48251,181.8871,181.8871,181.8871,14.1292,19.30965,14.13487,15.25294,20.86292,15.27188,38.11224,38.11224,38.11224,43.14675,43.14675,43.14675,21.26659,21.26659,21.26659,24.54765,24.54765,24.54765,1.0,0.0,16.3955,22.39789,16.3955,20.52383,28.03761,20.52383,110.05523,106.37893,99.33991,103.50497,111.06631,99.99368,99.01055,150.34644,145.32256,134.5845,141.38961,151.72769,136.55888,135.1857,110.05522,106.37769,98.51731,103.49873,111.06631,99.96258,98.9574,-0.21636,-0.21636,-0.21636,1.17117,1.17117,1.17117,109.37894,149.42251,109.37889,100.66952,137.49377,100.64693,59.15323,59.15323,59.15323,53.24392,53.24392,53.24392,55.21369,55.21369,55.21369,97.08575,132.62715,97.08451,106.38975,145.33734,106.38851,115.69375,158.04754,115.69251,1.0,0.0,109.992,106.9475,98.75168,99.70033,111.488,96.29133,98.69878,150.26007,146.10098,134.73596,136.20063,152.30376,131.50268,134.73256,109.992,106.9475,98.62819,99.70033,111.488,96.26139,98.62569,-0.337,-0.466,-0.341,5.047,6.902,5.052,4.878,6.669,4.882,28.71659,28.71659,28.71659,29.14055,29.14055,29.14055,60.40731,60.40731,60.40731,-4.45,-6.07915,-4.45,4.455,6.08598,4.455,327.83074,354.13619,354.13619,25.0,25.0,25.0,27.778,27.778,27.778,-3.85615,-3.85615,-3.85615,5.25329,5.25329,5.25329,60.289,59.561,55.6,60.293,59.578,55.6,60.293,59.578,55.6,81.41,111.2142,81.41,102.705,140.3053,102.705,124.0,169.3964,124.0,0.92131,0.92158,0.92158,0.57872,0.5798,0.5798,74.05876,74.05876,74.05876,43.712,43.712,43.712,72.707,72.707,72.707,113.7759,155.42926,113.7759,109.3141,149.33399,109.3141,117.81835,160.95098,117.81786,102.40286,139.89198,102.40244
