ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
600011.SH,20241108,7.4,37.7252,7.4,7.45,37.9801,7.45,7.28,37.11344,7.28,7.32,37.31736,7.32,7.35,-0.03,-0.4082,597273.9,438548.15,0.5431,1.3649,1.18,13.606,18.2546,1.9773,0.4517,0.4643,0.0,2.7322,1569809.3359,1099770.9919,437592.3252,11491004.3388,8050323.6607,5.098,-7.04194,-35.89982,-7.04194,-1.73502,-8.84511,-1.73502,0.198,1.0094,0.198,7.2665,37.04462,7.2665,0.757,0.757,0.757,0.561,0.561,0.561,0.596,0.596,0.596,6.949,35.428,6.949,7.218,36.8,7.219,7.488,38.172,7.488,75.19582,75.19582,75.19582,115.07692,115.07692,115.07692,89.33873,89.33873,89.33873,97.72358,97.72358,97.72358,0.2304,1.17458,0.2304,0.20174,1.02847,0.20174,26.82361,25.09079,25.09079,21.96514,21.09873,21.09873,10.50725,11.95652,11.95652,30.7971,30.7971,30.7971,1.0,0.0,0.1045,0.53274,0.1045,0.15283,0.77914,0.15283,7.27045,7.23392,8.08967,7.21677,7.29127,7.35696,7.5719,37.06474,36.87817,40.73493,36.78613,37.1709,37.43542,38.43234,7.27045,7.23385,7.99037,7.2158,7.29127,7.34316,7.53871,0.3868,0.3868,0.3868,0.0624,0.0624,0.0624,7.26362,37.02995,7.26362,7.28975,37.12173,7.28163,65.85515,65.85515,65.85515,54.77925,54.77925,54.77925,58.47122,58.47122,58.47122,6.85969,34.97035,6.85962,7.22769,36.84642,7.22762,7.59569,38.72248,7.59562,1.0,0.0,7.271,7.2185,8.28996,7.234,7.278,7.0935,7.63489,37.06756,36.79991,41.61617,36.87893,37.10324,36.16266,38.80596,7.271,7.2185,8.16323,7.234,7.278,7.0935,7.612,0.003,0.012,0.002,0.043,0.223,0.044,0.045,0.229,0.045,25.44661,25.44661,25.44661,26.09971,26.09971,26.09971,61.83642,61.83642,61.83642,0.01,0.05098,0.01,0.15167,0.7732,0.15167,11080.54233,11259.59495,11259.59495,50.0,50.0,50.0,48.611,48.611,48.611,0.1368,0.1368,0.1368,2.16296,2.16296,2.16296,54.072,50.907,56.325,54.081,51.036,56.325,54.081,51.036,56.325,6.82,34.76836,6.82,7.155,36.47619,7.155,7.49,38.18402,7.49,0.11771,0.11777,0.11777,0.2038,0.20413,0.20413,112.07861,112.07861,112.07861,36.957,36.957,36.957,43.333,43.333,43.333,7.41387,37.79591,7.41387,7.12313,36.31372,7.12313,7.79862,39.7566,7.79847,6.77824,34.5548,6.77811
600011.SH,20241107,7.21,36.75658,7.21,7.35,37.4703,7.35,7.17,36.55266,7.17,7.35,37.4703,7.35,7.24,0.11,1.5193,653813.96,477354.99,0.5945,1.4941,1.21,13.6617,18.3294,1.9854,0.4535,0.4662,0.0,2.7211,1569809.3359,1099770.9919,437592.3252,11538098.6189,8083316.7905,5.098,-5.09891,-25.99422,-5.09891,-1.46695,-7.4785,-1.46695,0.2065,1.05274,0.2065,7.2595,37.00893,7.2595,1.309,1.309,1.309,0.985,0.985,0.985,0.783,0.783,0.783,6.95,35.429,6.95,7.218,36.797,7.218,7.486,38.166,7.486,79.84085,79.84085,79.84085,115.90214,115.90214,115.90214,41.29181,41.29181,41.29181,78.19972,78.19972,78.19972,0.2292,1.16846,0.2292,0.1895,0.96607,0.1895,18.99618,18.10587,18.10587,21.34109,20.89594,20.89594,10.78067,12.26766,12.26766,27.88104,27.88104,27.88104,0.0,1.0,0.1755,0.8947,0.1755,0.18192,0.92741,0.18192,7.25944,7.22486,8.09586,7.20965,7.27691,7.35822,7.57756,37.0086,36.83193,40.76238,36.74949,37.09767,37.43942,38.4574,7.25944,7.22478,7.99576,7.20861,7.27691,7.34394,7.54362,0.31188,0.31188,0.31188,-0.04901,-0.04901,-0.04901,7.25337,36.97769,7.25337,7.28852,37.11375,7.28006,60.58728,60.58728,60.58728,52.93327,52.93327,52.93327,55.48461,55.48461,55.48461,6.84881,34.91488,6.84874,7.21481,36.78075,7.21474,7.58081,38.64661,7.58074,0.0,7.0,7.267,7.218,8.29156,7.20533,7.254,7.09717,7.65589,37.04717,36.79736,41.62096,36.73279,36.98089,36.18136,38.90186,7.267,7.218,8.16417,7.20533,7.254,7.09717,7.63081,-0.001,-0.007,-0.001,0.043,0.222,0.043,0.042,0.218,0.043,25.74963,25.74963,25.74963,26.31083,26.31083,26.31083,61.83695,61.83695,61.83695,0.03,0.15294,0.03,0.18,0.91764,0.18,11140.26972,11319.32234,11319.32234,50.0,50.0,50.0,47.222,47.222,47.222,0.40984,0.40984,0.40984,2.56389,2.56389,2.56389,55.378,51.467,59.905,55.387,51.599,59.905,55.387,51.599,59.905,6.82,34.76836,6.82,7.205,36.73109,7.205,7.59,38.69382,7.59,0.12142,0.12149,0.12149,0.20949,0.20987,0.20987,126.24468,126.24468,126.24468,30.435,30.435,30.435,6.897,6.897,6.897,7.38735,37.66071,7.38735,7.09765,36.18382,7.09765,7.79803,39.75358,7.79788,6.77772,34.55218,6.77759
600011.SH,20241106,7.27,37.06246,7.27,7.31,37.26638,7.31,7.21,36.75658,7.21,7.24,36.90952,7.24,7.27,-0.03,-0.4127,513446.47,372249.3,0.4669,1.1733,0.87,13.4573,18.0551,1.9557,0.4468,0.4593,0.0,2.7624,1569809.3359,1099770.9919,437592.3252,11365419.5919,7962341.9814,5.098,-6.21318,-31.6748,-6.21318,-1.47099,-7.49913,-1.47099,0.217,1.10627,0.217,7.23996,36.90931,7.23996,0.347,0.347,0.347,-0.492,-0.492,-0.492,-0.663,-0.663,-0.663,6.924,35.3,6.924,7.229,36.853,7.229,7.534,38.407,7.534,78.21522,78.21522,78.21522,120.9375,120.9375,120.9375,21.67889,21.67889,21.67889,82.9436,82.9436,82.9436,0.2324,1.18478,0.2324,0.17716,0.90316,0.17716,15.48912,15.48912,15.48912,20.54234,20.54234,20.54234,13.57143,13.57143,13.57143,26.78571,26.78571,26.78571,1.0,0.0,0.1065,0.54294,0.1065,0.17692,0.90192,0.17692,7.23931,7.21168,8.10185,7.19997,7.24036,7.35849,7.58268,36.906,36.76474,40.78882,36.69978,36.91136,37.43838,38.47958,7.23931,7.2116,8.00095,7.19886,7.24036,7.34374,7.54798,0.25054,0.25054,0.25054,-0.10712,-0.10712,-0.10712,7.2358,36.88813,7.2358,7.28601,37.09919,7.27721,42.0177,42.0177,42.0177,51.6576,51.6576,51.6576,48.4443,48.4443,48.4443,6.8409,34.87449,6.84082,7.2069,36.74036,7.20682,7.5729,38.60623,7.57282,1.0,0.0,7.268,7.229,8.2918,7.17833,7.236,7.1,7.677,37.05226,36.85344,41.61896,36.59514,36.88913,36.1958,38.99823,7.268,7.229,8.16378,7.17833,7.236,7.1,7.64971,-0.014,-0.074,-0.014,0.043,0.222,0.044,0.036,0.186,0.036,25.97911,25.97911,25.97911,26.48046,26.48046,26.48046,62.78244,62.78244,62.78244,0.23,1.17254,0.23,0.15,0.7647,0.15,11074.88832,11253.94094,11253.94094,50.0,50.0,50.0,44.444,44.444,44.444,3.28103,3.28103,3.28103,2.15123,2.15123,2.15123,51.437,49.514,50.241,51.447,49.645,50.241,51.447,49.645,50.241,6.82,34.76836,6.82,7.3,37.2154,7.3,7.78,39.66244,7.78,0.12728,0.12737,0.12737,0.21103,0.21147,0.21147,129.22441,129.22441,129.22441,54.348,54.348,54.348,38.235,38.235,38.235,7.3746,37.59571,7.3746,7.0854,36.12137,7.0854,7.79721,39.74944,7.79706,6.77702,34.54858,6.77689
600011.SH,20241105,7.2,36.7056,7.2,7.27,37.06246,7.27,7.16,36.50168,7.16,7.27,37.06246,7.27,7.21,0.06,0.8322,537595.96,388730.61,0.4888,1.2285,0.87,13.513,18.1299,1.9638,0.4486,0.4612,0.0,2.751,1569809.3359,1099770.9919,437592.3252,11412513.872,7995335.1111,5.098,-2.63816,-13.44931,-2.63816,-1.62897,-8.30447,-1.62897,0.2425,1.23627,0.2425,7.23571,36.88764,7.23571,0.693,0.693,0.693,0.184,0.184,0.184,-0.132,-0.132,-0.132,6.92,35.278,6.92,7.24,36.907,7.24,7.559,38.536,7.559,80.10336,80.10336,80.10336,128.70662,128.70662,128.70662,16.89361,16.89361,16.89361,63.6663,63.6663,63.6663,0.2372,1.20925,0.2372,0.16628,0.8477,0.16628,11.33624,11.33624,11.33624,20.40708,20.40708,20.40708,16.04096,16.04096,16.04096,24.23208,24.23208,24.23208,0.0,2.0,0.18,0.91764,0.18,0.214,1.09097,0.214,7.23916,7.2087,8.10877,7.19721,7.24054,7.36251,7.59038,36.90522,36.7495,40.81998,36.68532,36.91227,37.4563,38.51486,7.23916,7.20861,8.00706,7.19602,7.24054,7.34725,7.5549,0.16107,0.16107,0.16107,-0.12233,-0.12233,-0.12233,7.23504,36.88424,7.23504,7.28789,37.10694,7.27872,42.99259,42.99259,42.99259,53.26425,53.26425,53.26425,49.84036,49.84036,49.84036,6.81201,34.72718,6.81192,7.20201,36.7154,7.20192,7.59201,38.70362,7.59192,0.0,4.0,7.275,7.2395,8.29124,7.15167,7.21,7.10217,7.69933,37.08795,36.90697,41.61301,36.4592,36.75658,36.20685,39.10089,7.275,7.2395,8.16261,7.15167,7.21,7.10217,7.66985,-0.013,-0.067,-0.013,0.045,0.232,0.045,0.038,0.198,0.039,26.22557,26.22557,26.22557,26.62648,26.62648,26.62648,57.07824,57.07824,57.07824,0.22,1.12156,0.22,0.105,0.53529,0.105,11126.23297,11305.28559,11305.28559,50.0,50.0,50.0,41.667,41.667,41.667,3.12057,3.12057,3.12057,1.51319,1.51319,1.51319,52.598,50.04,53.153,52.608,50.175,53.153,52.608,50.175,53.153,6.82,34.76836,6.82,7.31,37.26638,7.31,7.8,39.7644,7.8,0.13937,0.13946,0.13946,0.20678,0.20728,0.20728,143.09738,143.09738,143.09738,47.826,47.826,47.826,46.667,46.667,46.667,7.34757,37.45791,7.34757,7.05943,35.98897,7.05943,7.79736,39.75018,7.79721,6.77715,34.54922,6.77702
600011.SH,20241104,7.21,36.75658,7.21,7.24,36.90952,7.24,7.15,36.4507,7.15,7.21,36.75658,7.21,7.2,0.01,0.1389,364168.49,261693.19,0.3311,0.8322,0.5,13.4015,17.9803,1.9476,0.4449,0.4574,0.0,2.7739,1569809.3359,1099770.9919,437592.3252,11318325.3118,7929348.8516,5.098,-0.91371,-4.6581,-0.91371,-2.36787,-12.0714,-2.36787,0.284,1.44783,0.284,7.24742,36.94733,7.24742,-0.62,-0.62,-0.62,-0.391,-0.391,-0.391,-0.734,-0.734,-0.734,6.831,34.823,6.831,7.273,37.078,7.273,7.715,39.332,7.715,85.97403,85.97403,85.97403,135.44304,135.44304,135.44304,2.40186,2.40186,2.40186,87.5,87.5,87.5,0.2398,1.2225,0.2398,0.1562,0.79631,0.1562,11.32987,11.32987,11.32987,21.70445,21.70445,21.70445,18.18182,18.18182,18.18182,22.89562,22.89562,22.89562,0.0,1.0,0.165,0.84117,0.165,0.27725,1.41342,0.27725,7.2323,7.20225,8.11551,7.19219,7.22581,7.36565,7.59758,36.87028,36.71656,40.85016,36.65931,36.83718,37.46965,38.5475,7.2323,7.20215,8.01298,7.19092,7.22581,7.34987,7.5613,0.04965,0.04965,0.04965,-0.09954,-0.09954,-0.09954,7.22869,36.85184,7.22869,7.28862,37.10875,7.27908,36.06838,36.06838,36.06838,54.97619,54.97619,54.97619,48.67359,48.67359,48.67359,6.75872,34.45542,6.75862,7.19872,36.69854,7.19862,7.63872,38.94166,7.63862,0.0,1.0,7.28,7.273,8.29096,7.12333,7.21,7.10667,7.71933,37.11344,37.07775,41.60844,36.31475,36.75658,36.22979,39.19186,7.28,7.273,8.16172,7.12333,7.21,7.10667,7.68769,-0.017,-0.088,-0.017,0.046,0.24,0.047,0.038,0.196,0.038,26.50828,26.50828,26.50828,26.766,26.766,26.766,51.81527,51.81527,51.81527,0.29,1.47842,0.29,0.05333,0.27189,0.05333,11072.47337,11251.526,11251.526,50.0,50.0,50.0,38.889,38.889,38.889,4.19075,4.19075,4.19075,0.79494,0.79494,0.79494,50.552,49.002,48.145,50.562,49.135,48.145,50.562,49.135,48.145,6.82,34.76836,6.82,7.635,38.92323,7.635,8.45,43.0781,8.45,0.15197,0.15208,0.15208,0.19573,0.1963,0.1963,145.30097,145.30097,145.30097,57.143,57.143,57.143,60.87,60.87,60.87,7.36338,37.53851,7.36338,7.07462,36.06641,7.07462,7.79737,39.75022,7.79722,6.77715,34.54926,6.77702
