ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
000333.SZ,20241108,72.66,388.51302,72.66,73.76,394.39472,73.76,71.1,380.1717,71.1,72.58,388.08526,72.58,72.1,0.48,0.6657,593373.82,4283549.29,0.8614,1.2573,1.39,16.4783,14.7381,2.66,1.4935,1.3895,3.3809,4.0873,765567.3083,688870.2761,471952.4048,55564875.2364,49998204.6393,5.347,-196.81065,-1052.34652,-196.81065,-20.72095,-110.79493,-20.72095,2.272,12.14838,2.272,72.90954,389.84732,72.90954,0.325,0.325,0.325,-0.812,-0.812,-0.812,-2.884,-2.884,-2.884,70.274,375.758,70.274,74.169,396.582,74.169,78.064,417.406,78.064,75.67968,75.67968,75.67968,100.65911,100.65911,100.65911,-48.03629,-48.03629,-48.03629,74.77321,74.77321,74.77321,2.5826,13.80916,2.5826,4.88314,26.11015,4.88314,45.97406,45.97406,45.97406,36.62312,36.62312,36.62312,25.97902,25.97902,25.97902,13.39161,13.39161,13.39161,0.0,2.0,-2.162,-11.56021,-2.162,-1.07558,-5.75114,-1.07558,72.82666,73.00862,64.19212,72.37643,72.38141,70.1649,68.66554,389.40414,390.37702,337.2257,386.99161,387.0234,374.90155,366.15663,72.82666,73.00861,63.06821,72.37546,72.38141,70.11437,68.47889,-0.11709,-0.11709,-0.11709,-0.27201,-0.27201,-0.27201,72.9656,390.14709,72.9656,70.81727,378.53702,70.79428,46.02964,46.02964,46.02964,31.52531,31.52531,31.52531,36.36008,36.36008,36.36008,68.63722,367.00313,68.6372,72.97522,390.19842,72.9752,77.31322,413.3937,77.3132,0.0,2.0,72.718,74.169,62.62684,74.06733,72.364,68.71917,66.84356,388.82315,396.58164,327.96033,396.03803,386.93031,367.44138,357.41249,72.718,74.169,61.33539,74.06733,72.364,68.71917,66.84356,-1.264,-6.758,-1.264,0.922,4.935,0.923,0.291,1.556,0.291,24.88788,24.88788,24.88788,25.43236,25.43236,25.43236,28.80922,28.80922,28.80922,-3.8,-20.3186,-3.8,-2.70333,-14.45472,-2.70333,6110.4346,6561.29631,6561.29631,41.667,41.667,41.667,33.333,33.333,33.333,-4.97512,-4.97512,-4.97512,-3.57727,-3.57727,-3.57727,48.895,52.701,46.664,48.895,52.731,46.664,48.895,52.731,46.664,69.89,373.70183,69.89,74.59,398.83273,74.59,79.29,423.96363,79.29,0.05164,0.05164,0.05164,0.52656,0.52656,0.52656,108.49137,108.49137,108.49137,52.724,52.724,52.724,30.491,30.491,30.491,73.66236,393.87264,73.66236,70.77364,378.42665,70.77364,78.78385,420.9581,78.7279,68.47568,365.87947,68.42706
000333.SZ,20241107,70.35,376.16145,70.35,72.1,385.5187,72.1,69.89,373.70183,69.89,72.1,385.5187,72.1,71.17,0.93,1.3067,547746.02,3895318.88,0.7951,1.1606,1.31,16.3694,14.6406,2.6424,1.4837,1.3803,3.4034,4.1145,765567.3083,688870.2761,471952.4048,55197402.9284,49667546.9068,5.347,-141.80859,-758.25056,-141.80859,18.33293,98.02615,18.33293,2.259,12.07887,2.259,73.03858,390.53731,73.03858,-0.072,-0.072,-0.072,-1.893,-1.893,-1.893,-3.713,-3.713,-3.713,70.399,376.421,70.399,74.378,397.702,74.378,78.358,418.983,78.358,84.88878,84.88878,84.88878,107.62416,107.62416,107.62416,-102.04329,-102.04329,-102.04329,63.27604,63.27604,63.27604,3.04,16.25488,3.04,5.39494,28.84674,5.39494,47.61166,47.61166,47.61166,35.91804,35.91804,35.91804,25.94274,25.94274,25.94274,7.57682,7.57682,7.57682,0.0,1.0,-2.1815,-11.66448,-2.1815,-0.696,-3.72151,-0.696,72.88147,73.05374,64.12475,72.36239,72.28211,70.08303,68.57758,389.69722,390.61826,336.81719,386.91618,386.49247,374.45465,365.66385,72.88147,73.05372,62.99181,72.36136,72.28211,70.03079,68.38673,-0.20663,-0.20663,-0.20663,-0.33107,-0.33107,-0.33107,73.03571,390.52196,73.03571,70.74532,378.1473,70.72139,33.47942,33.47942,33.47942,29.10792,29.10792,29.10792,30.56508,30.56508,30.56508,69.00335,368.96081,69.00333,73.02735,390.47714,73.02733,77.05135,411.99347,77.05133,0.0,1.0,72.987,74.3785,62.55148,73.85,72.298,68.52117,66.751,390.26149,397.70184,327.50901,394.87595,386.57741,366.38268,356.9176,72.987,74.3785,61.25098,73.85,72.298,68.52117,66.751,-1.454,-7.779,-1.455,1.08,5.78,1.081,0.353,1.89,0.354,25.14965,25.14965,25.14965,25.65248,25.65248,25.65248,18.49618,18.49618,18.49618,-4.4,-23.5268,-4.4,-2.83333,-15.14983,-2.83333,6051.09722,6501.95893,6501.95893,33.333,33.333,33.333,29.167,29.167,29.167,-5.75163,-5.75163,-5.75163,-3.75247,-3.75247,-3.75247,47.095,51.929,41.851,47.096,51.959,41.851,47.096,51.959,41.851,69.89,373.70183,69.89,74.59,398.83273,74.59,79.29,423.96363,79.29,0.08908,0.08908,0.08908,0.56377,0.56378,0.56378,107.01844,107.01844,107.01844,62.982,62.982,62.982,41.842,41.842,41.842,73.55322,393.28907,73.55322,70.66878,377.86597,70.66878,78.80962,421.08907,78.7524,68.49808,365.9933,68.44835
000333.SZ,20241106,73.14,391.07958,73.14,73.14,391.07958,73.14,70.97,379.47659,70.97,71.17,380.54599,71.17,73.13,-1.96,-2.6802,525931.43,3768679.12,0.7635,1.1144,1.33,16.1582,14.4518,2.6084,1.4645,1.3625,3.4479,4.1683,765567.3083,688870.2761,471952.4048,54485425.3317,49026897.55,5.347,-104.8925,-560.86018,-104.8925,52.60436,281.27549,52.60436,2.367,12.65635,2.367,73.2965,391.91639,73.2965,-1.508,-1.508,-1.508,-3.639,-3.639,-3.639,-5.003,-5.003,-5.003,70.506,376.996,70.506,74.688,399.359,74.688,78.871,421.723,78.871,89.88357,89.88357,89.88357,118.48763,118.48763,118.48763,-104.7161,-104.7161,-104.7161,77.96925,77.96925,77.96925,3.5756,19.11873,3.5756,5.90514,31.57478,5.90514,44.55533,44.55533,44.55533,33.68255,33.68255,33.68255,21.18079,21.18079,21.18079,9.47298,9.47298,9.47298,1.0,0.0,-2.5935,-13.86744,-2.5935,0.01125,0.06015,0.01125,73.05513,73.15414,64.06069,72.38048,72.37317,70.01466,68.49842,390.62578,391.15505,336.42602,387.01256,386.97935,374.07959,365.21768,73.05513,73.15411,62.91865,72.37938,72.37317,69.96065,68.30329,-0.10024,-0.10024,-0.10024,-0.32705,-0.32705,-0.32705,73.20584,391.43165,73.20584,70.69003,377.84642,70.66513,22.5241,22.5241,22.5241,28.37933,28.37933,28.37933,26.42759,26.42759,26.42759,69.38851,371.02025,69.38849,73.20251,391.41371,73.20249,77.01651,411.80716,77.01649,24.0,0.0,73.341,74.6885,62.47312,73.62267,72.162,68.31817,66.67533,392.15433,399.35941,327.04276,393.6604,385.85021,365.29724,356.51322,73.341,74.6885,61.16379,73.62267,72.162,68.31817,66.67537,-1.571,-8.402,-1.571,1.262,6.752,1.263,0.477,2.551,0.477,25.32768,25.32768,25.32768,25.88321,25.88321,25.88321,27.70449,27.70449,27.70449,-2.91,-15.55977,-2.91,-3.14167,-16.79849,-3.14167,5996.32261,6447.18433,6447.18433,33.333,33.333,33.333,26.389,26.389,26.389,-3.92819,-3.92819,-3.92819,-4.11243,-4.11243,-4.11243,43.566,50.427,31.934,43.566,50.458,31.934,43.566,50.458,31.934,70.38,376.32186,70.38,74.88,400.38336,74.88,79.38,424.44486,79.38,0.13538,0.13538,0.13538,0.5958,0.5958,0.5958,108.29745,108.29745,108.29745,87.007,87.007,87.007,80.101,80.101,80.101,73.62666,393.68175,73.62666,70.73934,378.24325,70.73934,78.87541,421.42873,78.81592,68.55526,366.28852,68.50356
000333.SZ,20241105,72.5,387.6575,72.5,73.48,392.89756,73.48,71.21,380.75987,71.21,73.13,391.02611,73.13,72.84,0.29,0.3981,416967.28,3027068.2,0.6053,0.8835,1.13,16.6032,14.8498,2.6802,1.5048,1.4,3.3555,4.0566,765567.3083,688870.2761,471952.4048,55985937.256,50377083.2912,5.347,-53.17643,-284.3344,-53.17643,81.52737,435.92685,81.52737,2.567,13.72575,2.567,73.61596,393.62453,73.61596,0.532,0.532,0.532,-1.309,-1.309,-1.309,-2.516,-2.516,-2.516,71.022,379.753,71.022,74.88,400.386,74.88,78.739,421.019,78.739,93.42661,93.42661,93.42661,122.86282,122.86282,122.86282,-81.8375,-81.8375,-81.8375,63.65808,63.65808,63.65808,4.2728,22.84666,4.2728,6.41982,34.32678,6.41982,42.24661,42.24661,42.24661,33.36209,33.36209,33.36209,22.79895,22.79895,22.79895,9.32983,9.32983,9.32983,0.0,3.0,-0.077,-0.41172,-0.077,1.12508,6.01582,1.12508,73.47405,73.36299,64.00359,72.46397,72.97476,69.97549,68.43839,392.86573,392.27179,336.07164,387.45853,390.19603,373.86039,364.87322,73.47405,73.36297,62.85237,72.46279,72.97476,69.91965,68.23887,-0.12981,-0.12981,-0.12981,-0.32393,-0.32393,-0.32393,73.576,393.41086,73.576,70.67044,377.73624,70.64452,38.58965,38.58965,38.58965,29.35521,29.35521,29.35521,32.43335,32.43335,32.43335,69.61835,372.24921,69.61833,73.35435,392.2256,73.35433,77.09035,412.20199,77.09033,0.0,4.0,73.862,74.8805,62.39812,73.42533,72.478,68.1595,66.60544,394.94011,400.38603,326.59456,392.60526,387.53987,364.44885,356.13946,73.862,74.8805,61.07996,73.42533,72.478,68.1595,66.60547,-1.473,-7.878,-1.473,1.459,7.802,1.459,0.722,3.863,0.723,25.53298,25.53298,25.53298,26.12031,26.12031,26.12031,28.38213,28.38213,28.38213,-1.88,-10.05236,-1.88,-3.10667,-16.61135,-3.10667,6048.91576,6499.77747,6499.77747,33.333,33.333,33.333,25.0,25.0,25.0,-2.50633,-2.50633,-2.50633,-4.0439,-4.0439,-4.0439,50.011,53.825,45.589,50.012,53.858,45.589,50.012,53.858,45.589,70.38,376.32186,70.38,74.88,400.38336,74.88,79.38,424.44486,79.38,0.18807,0.18808,0.18808,0.62111,0.62111,0.62111,127.0046,127.0046,127.0046,62.838,62.838,62.838,46.289,46.289,46.289,73.90818,395.18704,73.90818,71.00982,379.68951,71.00982,78.99239,422.04058,78.93035,68.65694,366.82031,68.60301
000333.SZ,20241104,72.14,385.73258,72.14,73.37,392.30939,73.37,71.7,383.3799,71.7,72.84,389.47548,72.84,72.25,0.59,0.8166,232315.78,1680407.66,0.3372,0.4922,0.61,16.5374,14.7909,2.6696,1.4989,1.3944,3.3688,4.0727,765567.3083,688870.2761,471952.4048,55763922.7366,50177310.9111,5.347,-42.65474,-228.07491,-42.65474,101.91913,544.96157,101.91913,2.834,15.1534,2.834,73.67338,393.93154,73.67338,-0.265,-0.265,-0.265,-1.908,-1.908,-1.908,-2.74,-2.74,-2.74,70.827,378.712,70.827,75.234,402.274,75.234,79.64,425.835,79.64,97.25916,97.25916,97.25916,132.37046,132.37046,132.37046,-96.9235,-96.9235,-96.9235,92.15217,92.15217,92.15217,4.8376,25.86665,4.8376,6.88054,36.79025,6.88054,43.3725,43.3725,43.3725,32.80672,32.80672,32.80672,28.64652,28.64652,28.64652,9.32983,9.32983,9.32983,0.0,2.0,0.2825,1.51053,0.2825,2.061,11.02017,2.061,73.5505,73.38752,63.93028,72.41803,72.89714,69.86856,68.33296,393.27454,392.40292,335.63024,387.21249,389.78099,373.27851,364.28552,73.5505,73.38749,62.76982,72.41677,72.89714,69.81083,68.12895,-0.39239,-0.39239,-0.39239,-0.27961,-0.27961,-0.27961,73.65709,393.84445,73.65709,70.57005,377.19379,70.54307,22.47244,22.47244,22.47244,27.81613,27.81613,27.81613,26.0349,26.0349,26.0349,69.57506,372.01769,69.57503,73.43306,392.64642,73.43303,77.29106,413.27514,77.29103,0.0,3.0,74.199,75.2335,62.31832,73.10467,72.666,67.9905,66.50344,396.74205,402.27352,326.12001,390.89065,388.5451,363.5452,355.59399,74.199,75.2335,60.99121,73.10467,72.666,67.9905,66.50346,-1.635,-8.744,-1.635,1.643,8.787,1.643,0.825,4.415,0.826,25.72795,25.72795,25.72795,26.35531,26.35531,26.35531,28.75933,28.75933,28.75933,-0.24,-1.28328,-0.24,-3.365,-17.99266,-3.365,6007.21903,6458.08074,6458.08074,33.333,33.333,33.333,23.611,23.611,23.611,-0.32841,-0.32841,-0.32841,-4.35628,-4.35628,-4.35628,48.988,53.379,42.56,48.988,53.413,42.56,48.988,53.413,42.56,70.38,376.32186,70.38,77.025,411.85268,77.025,83.67,447.38349,83.67,0.23892,0.23892,0.23892,0.63905,0.63905,0.63905,126.56167,126.56167,126.56167,66.757,66.757,66.757,52.692,52.692,52.692,74.23917,396.95684,74.23917,71.32783,381.38991,71.32783,79.01429,422.1479,78.95042,68.67597,366.91359,68.62046
