ts_code,trade_date,open,open_hfq,open_qfq,high,high_hfq,high_qfq,low,low_hfq,low_qfq,close,close_hfq,close_qfq,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,adj_factor,asi_bfq,asi_hfq,asi_qfq,asit_bfq,asit_hfq,asit_qfq,atr_bfq,atr_hfq,atr_qfq,bbi_bfq,bbi_hfq,bbi_qfq,bias1_bfq,bias1_hfq,bias1_qfq,bias2_bfq,bias2_hfq,bias2_qfq,bias3_bfq,bias3_hfq,bias3_qfq,boll_lower_bfq,boll_lower_hfq,boll_lower_qfq,boll_mid_bfq,boll_mid_hfq,boll_mid_qfq,boll_upper_bfq,boll_upper_hfq,boll_upper_qfq,brar_ar_bfq,brar_ar_hfq,brar_ar_qfq,brar_br_bfq,brar_br_hfq,brar_br_qfq,cci_bfq,cci_hfq,cci_qfq,cr_bfq,cr_hfq,cr_qfq,dfma_dif_bfq,dfma_dif_hfq,dfma_dif_qfq,dfma_difma_bfq,dfma_difma_hfq,dfma_difma_qfq,dmi_adx_bfq,dmi_adx_hfq,dmi_adx_qfq,dmi_adxr_bfq,dmi_adxr_hfq,dmi_adxr_qfq,dmi_mdi_bfq,dmi_mdi_hfq,dmi_mdi_qfq,dmi_pdi_bfq,dmi_pdi_hfq,dmi_pdi_qfq,downdays,updays,dpo_bfq,dpo_hfq,dpo_qfq,madpo_bfq,madpo_hfq,madpo_qfq,ema_bfq_10,ema_bfq_20,ema_bfq_250,ema_bfq_30,ema_bfq_5,ema_bfq_60,ema_bfq_90,ema_hfq_10,ema_hfq_20,ema_hfq_250,ema_hfq_30,ema_hfq_5,ema_hfq_60,ema_hfq_90,ema_qfq_10,ema_qfq_20,ema_qfq_250,ema_qfq_30,ema_qfq_5,ema_qfq_60,ema_qfq_90,emv_bfq,emv_hfq,emv_qfq,maemv_bfq,maemv_hfq,maemv_qfq,expma_12_bfq,expma_12_hfq,expma_12_qfq,expma_50_bfq,expma_50_hfq,expma_50_qfq,kdj_bfq,kdj_hfq,kdj_qfq,kdj_d_bfq,kdj_d_hfq,kdj_d_qfq,kdj_k_bfq,kdj_k_hfq,kdj_k_qfq,ktn_down_bfq,ktn_down_hfq,ktn_down_qfq,ktn_mid_bfq,ktn_mid_hfq,ktn_mid_qfq,ktn_upper_bfq,ktn_upper_hfq,ktn_upper_qfq,lowdays,topdays,ma_bfq_10,ma_bfq_20,ma_bfq_250,ma_bfq_30,ma_bfq_5,ma_bfq_60,ma_bfq_90,ma_hfq_10,ma_hfq_20,ma_hfq_250,ma_hfq_30,ma_hfq_5,ma_hfq_60,ma_hfq_90,ma_qfq_10,ma_qfq_20,ma_qfq_250,ma_qfq_30,ma_qfq_5,ma_qfq_60,ma_qfq_90,macd_bfq,macd_hfq,macd_qfq,macd_dea_bfq,macd_dea_hfq,macd_dea_qfq,macd_dif_bfq,macd_dif_hfq,macd_dif_qfq,mass_bfq,mass_hfq,mass_qfq,ma_mass_bfq,ma_mass_hfq,ma_mass_qfq,mfi_bfq,mfi_hfq,mfi_qfq,mtm_bfq,mtm_hfq,mtm_qfq,mtmma_bfq,mtmma_hfq,mtmma_qfq,obv_bfq,obv_hfq,obv_qfq,psy_bfq,psy_hfq,psy_qfq,psyma_bfq,psyma_hfq,psyma_qfq,roc_bfq,roc_hfq,roc_qfq,maroc_bfq,maroc_hfq,maroc_qfq,rsi_bfq_12,rsi_bfq_24,rsi_bfq_6,rsi_hfq_12,rsi_hfq_24,rsi_hfq_6,rsi_qfq_12,rsi_qfq_24,rsi_qfq_6,taq_down_bfq,taq_down_hfq,taq_down_qfq,taq_mid_bfq,taq_mid_hfq,taq_mid_qfq,taq_up_bfq,taq_up_hfq,taq_up_qfq,trix_bfq,trix_hfq,trix_qfq,trma_bfq,trma_hfq,trma_qfq,vr_bfq,vr_hfq,vr_qfq,wr_bfq,wr_hfq,wr_qfq,wr1_bfq,wr1_hfq,wr1_qfq,xsii_td1_bfq,xsii_td1_hfq,xsii_td1_qfq,xsii_td2_bfq,xsii_td2_hfq,xsii_td2_qfq,xsii_td3_bfq,xsii_td3_hfq,xsii_td3_qfq,xsii_td4_bfq,xsii_td4_hfq,xsii_td4_qfq
600372.SH,20241108,13.47,41.79741,13.47,13.76,42.69728,13.76,13.45,41.73535,13.45,13.65,42.35595,13.65,13.44,0.21,1.5625,901579.19,1228328.09,1.8953,4.17,1.25,35.0139,45.8956,1.7832,2.2771,2.6588,0.8645,0.9231,483889.663,475680.1798,216203.9266,6605093.9,6493034.4543,3.103,18.20689,56.49598,18.20689,26.09282,80.96604,26.09282,0.414,1.28464,0.414,13.25033,41.11578,13.25033,2.593,2.593,2.593,3.914,3.914,3.914,4.916,4.916,4.916,12.268,38.067,12.268,12.99,40.31,12.99,13.713,42.552,13.713,116.09403,116.09403,116.09403,164.6833,164.6833,164.6833,127.32575,127.32575,127.32575,148.67675,148.67675,148.67675,1.1598,3.59886,1.1598,1.0703,3.32114,1.0703,29.71954,29.71954,29.71954,23.62855,23.62855,23.62855,19.21098,19.21098,19.21098,39.96569,39.96569,39.96569,0.0,1.0,1.1635,3.61034,1.1635,1.12317,3.48519,1.12317,13.24865,12.96454,12.62081,12.7332,13.43525,12.37228,12.24195,41.11057,40.22896,38.91643,39.5106,41.68958,38.377,37.94296,13.24865,12.96454,12.54155,12.73303,13.43525,12.36771,12.22783,0.23581,0.23581,0.23581,0.01955,0.01955,0.01955,13.18883,40.92495,13.18883,12.45373,38.63663,12.45138,75.76999,75.76999,75.76999,60.97462,60.97462,60.97462,65.90641,65.90641,65.90641,12.05529,37.40755,12.05529,12.94929,40.18164,12.94929,13.84329,42.95572,13.84329,0.0,22.0,13.173,12.9905,12.16352,12.71533,13.456,12.0475,12.06622,40.87582,40.30952,37.50722,39.45568,41.75397,37.38339,37.44149,13.173,12.9905,12.08741,12.71533,13.456,12.0475,12.06622,0.051,0.159,0.051,0.346,1.073,0.346,0.371,1.153,0.372,27.1528,27.1528,27.1528,27.40408,27.40408,27.40408,65.12678,65.12678,65.12678,0.5,1.5515,0.5,0.55833,1.73251,0.55833,4934.70684,5073.64452,5073.64452,50.0,50.0,50.0,48.611,48.611,48.611,3.80228,3.80228,3.80228,4.37385,4.37385,4.37385,62.891,59.746,67.485,62.891,59.76,67.485,62.891,59.76,67.485,12.26,38.04278,12.26,13.18,40.89754,13.18,14.1,43.7523,14.1,0.42977,0.42977,0.42977,0.55937,0.55938,0.55938,168.83345,168.83345,168.83345,27.439,27.439,27.439,28.302,28.302,28.302,13.68534,42.46561,13.68534,13.14866,40.80029,13.14866,13.73567,42.61922,13.73484,11.93848,37.04287,11.93776
600372.SH,20241107,13.42,41.64226,13.42,13.46,41.76638,13.46,13.14,40.77342,13.14,13.44,41.70432,13.44,13.62,-0.18,-1.3216,872379.24,1160490.44,1.834,4.035,1.38,34.4752,45.1895,1.7558,2.242,2.6179,0.878,0.9375,483889.663,475680.1798,216203.9266,6503477.0707,6393141.6165,3.103,22.53565,69.92813,22.53565,26.4138,81.96202,26.4138,0.4345,1.34825,0.4345,13.18483,40.91254,13.18483,2.141,2.141,2.141,2.641,2.641,2.641,3.531,3.531,3.531,12.249,38.009,12.249,12.933,40.133,12.934,13.618,42.256,13.618,117.90235,117.90235,117.90235,162.38185,162.38185,162.38185,82.08899,82.08899,82.08899,113.29163,113.29163,113.29163,1.1296,3.50515,1.1296,1.05288,3.26709,1.05288,26.21057,26.21057,26.21057,24.67812,24.67812,24.67812,19.01528,19.01528,19.01528,37.86078,37.86078,37.86078,1.0,0.0,1.0755,3.33728,1.0755,1.09467,3.39675,1.09467,13.15947,12.89239,12.61255,12.66997,13.32787,12.32896,12.21031,40.83382,40.00506,38.88881,39.31437,41.35639,38.24212,37.8438,13.15947,12.89238,12.53265,12.66979,13.32787,12.32424,12.19587,0.25164,0.25164,0.25164,-0.04775,-0.04775,-0.04775,13.10498,40.66476,13.10498,12.40491,38.48483,12.40246,70.71993,70.71993,70.71993,58.50872,58.50872,58.50872,62.57913,62.57913,62.57913,12.01269,37.27536,12.01269,12.87869,39.96256,12.87869,13.74469,42.64976,13.74469,2.0,0.0,13.107,12.9335,12.16284,12.612,13.236,12.03317,12.04511,40.67102,40.13265,37.50339,39.13504,41.07131,37.33892,37.37598,13.107,12.9335,12.08617,12.612,13.236,12.03317,12.04511,0.03,0.092,0.03,0.339,1.053,0.339,0.354,1.099,0.354,27.36552,27.36552,27.36552,27.47828,27.47828,27.47828,63.94559,63.94559,63.94559,0.62,1.92386,0.62,0.48333,1.49978,0.48333,4844.54893,4983.4866,4983.4866,50.0,50.0,50.0,47.222,47.222,47.222,4.83619,4.83619,4.83619,3.80565,3.80565,3.80565,60.305,58.344,62.113,60.306,58.359,62.113,60.306,58.359,62.113,12.26,38.04278,12.26,13.18,40.89754,13.18,14.1,43.7523,14.1,0.42462,0.42462,0.42462,0.56005,0.56006,0.56006,158.35855,158.35855,158.35855,40.244,40.244,40.244,41.509,41.509,41.509,13.4793,41.82627,13.4793,12.9507,40.18602,12.9507,13.69082,42.47991,13.68995,11.8995,36.92179,11.89874
600372.SH,20241106,13.95,43.28685,13.95,14.1,43.7523,14.1,13.5,41.8905,13.5,13.62,42.26286,13.62,13.6,0.02,0.1471,988937.93,1358344.43,2.079,4.5741,1.84,34.9369,45.7947,1.7793,2.2721,2.6529,0.8664,0.9251,483889.663,475680.1798,216203.9266,6590577.2101,6478764.0489,3.103,32.2877,100.18874,32.2877,26.28785,81.57119,26.28785,0.4435,1.37618,0.4435,13.10358,40.66042,13.10358,4.315,4.315,4.315,4.428,4.428,4.428,5.387,5.387,5.387,12.267,38.064,12.267,12.918,40.086,12.918,13.57,42.108,13.57,128.13688,128.13688,128.13688,185.65489,185.65489,185.65489,209.72422,209.72422,209.72422,134.18803,134.18803,134.18803,1.106,3.43192,1.106,1.03408,3.20875,1.03408,21.46944,21.46944,21.46944,25.65624,25.65624,25.65624,12.62458,12.62458,12.62458,40.86379,40.86379,40.86379,0.0,3.0,1.372,4.25732,1.372,1.10475,3.42804,1.10475,13.09712,12.83475,12.6059,12.61687,13.27181,12.2913,12.18268,40.64038,39.82619,38.86619,39.14954,41.18242,38.12476,37.75704,13.09712,12.83474,12.52536,12.61667,13.27181,12.28642,12.16792,0.45831,0.45831,0.45831,-0.09137,-0.09137,-0.09137,13.04407,40.47575,13.04407,12.36266,38.35342,12.36011,79.02488,79.02488,79.02488,56.47352,56.47352,56.47352,63.99064,63.99064,63.99064,11.99943,37.23421,11.99942,12.82943,39.8097,12.82942,13.65943,42.38519,13.65942,0.0,20.0,13.054,12.9185,12.16264,12.51667,13.102,12.02267,12.02411,40.50656,40.08611,37.50105,38.83922,40.65551,37.30633,37.31084,13.054,12.9185,12.08542,12.51667,13.102,12.02267,12.02412,0.026,0.079,0.026,0.336,1.042,0.336,0.348,1.082,0.349,27.45342,27.45342,27.45342,27.53074,27.53074,27.53074,73.41684,73.41684,73.41684,0.67,2.07901,0.67,0.355,1.10157,0.355,4931.78685,5070.72453,5070.72453,50.0,50.0,50.0,45.833,45.833,45.833,5.17375,5.17375,5.17375,2.80701,2.80701,2.80701,63.797,60.062,70.423,63.798,60.077,70.423,63.798,60.077,70.423,12.26,38.04278,12.26,13.18,40.89754,13.18,14.1,43.7523,14.1,0.42488,0.42488,0.42488,0.55526,0.55528,0.55528,192.30922,192.30922,192.30922,29.268,29.268,29.268,29.268,29.268,29.268,13.36047,41.45754,13.36047,12.83653,39.83175,12.83653,13.66672,42.40503,13.66582,11.87855,36.85671,11.87777
600372.SH,20241105,13.1,40.6493,13.1,13.66,42.38698,13.66,13.1,40.6493,13.1,13.6,42.2008,13.6,12.97,0.63,4.8574,919148.55,1240128.64,1.9323,4.2513,2.09,34.8856,45.7274,1.7767,2.2687,2.649,0.8676,0.9265,483889.663,475680.1798,216203.9266,6580899.4168,6469250.4453,3.103,37.23209,115.53117,37.23209,24.78356,76.90339,24.78356,0.4725,1.46617,0.4725,12.96575,40.23272,12.96575,4.952,4.952,4.952,4.723,4.723,4.723,5.96,5.96,5.96,12.31,38.199,12.31,12.878,39.96,12.878,13.446,41.722,13.446,140.61224,140.61224,140.61224,186.65254,186.65254,186.65254,182.12732,182.12732,182.12732,92.7849,92.7849,92.7849,1.0886,3.37793,1.0886,1.02014,3.16549,1.02014,16.13561,16.13561,16.13561,25.39817,25.39817,25.39817,15.20979,15.20979,15.20979,35.31469,35.31469,35.31469,0.0,2.0,1.486,4.61106,1.486,1.11425,3.45752,1.11425,12.98093,12.75209,12.59776,12.54768,13.09771,12.24626,12.15038,40.27983,39.5697,38.83891,38.93483,40.64221,37.98448,37.65579,12.98093,12.75208,12.51657,12.54748,13.09771,12.24121,12.13528,0.2342,0.2342,0.2342,-0.12253,-0.12253,-0.12253,12.93936,40.15082,12.93936,12.31134,38.19385,12.30868,76.4304,76.4304,76.4304,52.71496,52.71496,52.71496,60.62011,60.62011,60.62011,11.89758,36.91817,11.89757,12.73358,39.51228,12.73357,13.56958,42.10639,13.56957,0.0,19.0,13.007,12.878,12.16136,12.41167,12.944,12.0035,12.00256,40.36072,39.96043,37.49538,38.5134,40.16523,37.24686,37.24403,13.007,12.878,12.08359,12.41167,12.944,12.0035,12.00259,-0.029,-0.092,-0.03,0.332,1.032,0.333,0.318,0.986,0.318,27.42934,27.42934,27.42934,27.55118,27.55118,27.55118,65.9589,65.9589,65.9589,0.91,2.82373,0.91,0.33,1.02399,0.33,4832.89306,4971.83073,4971.83073,50.0,50.0,50.0,45.833,45.833,45.833,7.171,7.171,7.171,2.6375,2.6375,2.6375,63.583,59.936,70.052,63.583,59.951,70.052,63.583,59.951,70.052,12.26,38.04278,12.26,12.96,40.21488,12.96,13.66,42.38698,13.66,0.42671,0.42671,0.42671,0.5427,0.54271,0.54271,177.66503,177.66503,177.66503,5.0,5.0,5.0,5.0,5.0,5.0,13.16973,40.86567,13.16973,12.65327,39.2631,12.65327,13.60754,42.22122,13.60658,11.82712,36.69695,11.82628
600372.SH,20241104,12.6,39.0978,12.6,13.05,40.49415,13.05,12.56,38.97368,12.56,12.97,40.24591,12.97,12.55,0.42,3.3466,443673.05,572416.23,0.9327,2.0521,0.99,33.2696,43.6092,1.6944,2.1636,2.5263,0.9098,0.9715,483889.663,475680.1798,216203.9266,6276048.9291,6169571.932,3.103,26.17589,81.22379,26.17589,21.96,68.14188,21.96,0.503,1.56081,0.503,12.86863,39.93134,12.86863,0.517,0.517,0.517,0.458,0.458,0.458,1.859,1.859,1.859,12.219,37.916,12.219,12.897,40.019,12.897,13.575,42.122,13.575,132.2449,132.2449,132.2449,172.32704,172.32704,172.32704,6.97572,6.97572,6.97572,106.13621,106.13621,106.13621,1.0398,3.2265,1.0398,1.0059,3.12131,1.0059,9.96835,9.96835,9.96835,26.32248,26.32248,26.32248,20.75472,20.75472,20.75472,26.60377,26.60377,26.60377,0.0,1.0,0.971,3.01301,0.971,1.16083,3.60207,1.16083,12.84336,12.66283,12.58971,12.47511,12.84657,12.20037,12.1178,39.85294,39.29274,38.81191,38.70959,39.86291,37.84156,37.55365,12.84336,12.66282,12.50787,12.47489,12.84657,12.19515,12.10237,-0.13969,-0.13969,-0.13969,-0.08103,-0.08103,-0.08103,12.81924,39.7781,12.81924,12.25874,38.0303,12.25598,32.76571,32.76571,32.76571,48.76239,48.76239,48.76239,43.43016,43.43016,43.43016,11.90982,36.95614,11.90981,12.65782,39.27718,12.65781,13.40582,41.59823,13.40581,0.0,3.0,12.929,12.897,12.15936,12.309,12.83,11.98817,11.98511,40.11869,40.01939,37.4875,38.19483,39.81149,37.19928,37.18998,12.929,12.897,12.08105,12.309,12.83,11.98817,11.98517,-0.121,-0.374,-0.121,0.336,1.043,0.336,0.276,0.856,0.276,27.51087,27.51087,27.51087,27.5598,27.5598,27.5598,57.57,57.57,57.57,0.62,1.92386,0.62,0.2,0.6206,0.2,4740.9782,4879.91588,4879.91588,50.0,50.0,50.0,45.833,45.833,45.833,5.02024,5.02024,5.02024,1.60722,1.60722,1.60722,56.055,55.734,55.351,56.055,55.752,55.351,56.055,55.752,55.351,12.26,38.04278,12.26,13.26,41.14578,13.26,14.26,44.24878,14.26,0.44259,0.44259,0.44259,0.52163,0.52164,0.52164,161.72301,161.72301,161.72301,45.745,45.745,45.745,45.161,45.161,45.161,13.08966,40.61721,13.08966,12.57634,39.02438,12.57634,13.56042,42.07485,13.55941,11.78616,36.56973,11.78528
